to_node from_node capacity prob_failure
38 18 1080159352 0.004
41 18 1084222489 0.004
44 18 900811661 0.004
49 18 1088334511 0.004
5 19 1006466410 0.004
9 19 1043953984 0.004
20 19 963200669 0.004
21 19 969024337 0.004
27 19 1023452782 0.004
38 19 965707332 0.004
45 19 909019399 0.004
2 20 1047624741 0.004
12 20 1029815807 0.004
13 20 1002082161 0.004
19 20 922368849 0.004
24 20 948191596 0.004
28 20 1058090707 0.004
31 20 1031268010 0.004
32 20 960292770 0.004
34 20 941785544 0.004
35 20 1091610866 0.004
42 20 968194283 0.004
43 20 1094575763 0.004
46 20 1033794807 0.004
0 21 1054945956 0.004
6 21 1069093745 0.004
13 21 911874266 0.004
23 21 915321842 0.004
39 21 994098366 0.004
40 21 1096690639 0.004
47 21 943167667 0.004
7 22 1096265977 0.004
9 22 950824689 0.004
10 22 1064412115 0.004
13 22 1092296635 0.004
16 22 1001587475 0.004
19 22 1004500163 0.004
20 22 1070579832 0.004
25 22 1043720872 0.004
28 22 1060725280 0.004
30 22 989237778 0.004
31 22 913625690 0.004
39 22 918724929 0.004
47 22 913141100 0.004
48 22 1014126773 0.004
0 23 935537093 0.004
6 23 997830659 0.004
17 23 955368837 0.004
18 23 993419292 0.004
22 23 951424348 0.004
25 23 1019008428 0.004
26 23 975730140 0.004
40 23 998822584 0.004
47 23 981063885 0.004
0 24 942309565 0.004
26 24 906001346 0.004
27 24 1064135655 0.004
32 24 1014014071 0.004
35 24 998420714 0.004
38 24 975242648 0.004
40 24 1040946906 0.004
43 24 989074244 0.004
49 24 1073690693 0.004
3 25 933033282 0.004
5 25 932945365 0.004
9 25 938057815 0.004
21 25 909618666 0.004
22 25 923441827 0.004
31 25 933566929 0.004
34 25 1026191270 0.004
46 25 962451467 0.004
48 25 903010442 0.004
4 26 1055198497 0.004
15 26 914171274 0.004
19 26 1063248707 0.004
22 26 960705283 0.004
30 26 914828339 0.004
40 26 993322288 0.004
41 26 1000962329 0.004
2 27 1098937265 0.004
3 27 906755008 0.004
4 27 1005337889 0.004
19 27 1060235469 0.004
21 27 1033553581 0.004
26 27 996695423 0.004
30 27 1082567599 0.004
31 27 994119489 0.004
37 27 905499289 0.004
43 27 910122558 0.004
44 27 1042827164 0.004
49 27 1011875791 0.004
3 28 983574608 0.004
4 28 928558448 0.004
7 28 918757891 0.004
9 28 1009614209 0.004
12 28 1057817602 0.004
13 28 942136250 0.004
17 28 975436363 0.004
29 28 919180990 0.004
30 28 1065270099 0.004
34 28 1066849583 0.004
37 28 1067533249 0.004
38 28 1012195716 0.004
43 28 968404227 0.004
44 28 985710722 0.004
45 28 976916111 0.004
46 28 934894044 0.004
48 28 963933836 0.004
2 29 1038580244 0.004
5 29 942219232 0.004
10 29 998108790 0.004
11 29 999461095 0.004
16 29 1061772480 0.004
23 29 1077850822 0.004
33 29 900672228 0.004
35 29 1004319791 0.004
44 29 1060586215 0.004
45 29 1023629856 0.004
2 30 958896110 0.004
4 30 1081513302 0.004
7 30 924725766 0.004
12 30 950544886 0.004
21 30 903052930 0.004
22 30 1026014125 0.004
28 30 1037479222 0.004
36 30 1027051532 0.004
45 30 1001262189 0.004
47 30 1066763074 0.004
49 30 1095984738 0.004
17 31 1060920484 0.004
19 31 1070276175 0.004
20 31 981952787 0.004
21 31 931533460 0.004
28 31 979679634 0.004
33 31 1088789463 0.004
15 32 1038711383 0.004
16 32 1076942653 0.004
20 32 976641521 0.004
0 33 1064105361 0.004
11 33 995174714 0.004
14 33 1063660384 0.004
37 33 1052454632 0.004
40 33 1036664802 0.004
44 33 914516828 0.004
46 33 1091849272 0.004
0 34 908790398 0.004
6 34 901005435 0.004
7 34 1086605525 0.004
8 34 936551840 0.004
16 34 1068382301 0.004
18 34 1046264382 0.004
25 34 1003655340 0.004
26 34 909376886 0.004
31 34 931891476 0.004
40 34 1079870417 0.004
4 35 1088165278 0.004
5 35 964267118 0.004
18 35 1078741503 0.004
27 35 989542955 0.004
41 35 912534588 0.004
45 35 1091523789 0.004
48 35 1010908580 0.004
49 35 1088166980 0.004
11 36 926882722 0.004
15 36 1035165577 0.004
27 36 939267541 0.004
31 36 963615161 0.004
41 36 953866113 0.004
44 36 968246787 0.004
45 36 943498285 0.004
5 37 962065902 0.004
24 37 1088730135 0.004
32 37 998129319 0.004
35 37 1095528712 0.004
42 37 1062667069 0.004
45 37 971228598 0.004
1 38 1056429761 0.004
3 38 903595971 0.004
7 38 949788324 0.004
9 38 1019707103 0.004
25 38 1022564283 0.004
35 38 974336183 0.004
37 38 963219648 0.004
46 38 1079274610 0.004
47 38 1067932542 0.004
49 38 1051414603 0.004
0 39 1093730723 0.004
2 39 925377030 0.004
11 39 1022278642 0.004
29 39 1028289378 0.004
48 39 930189189 0.004
3 40 1052923942 0.004
4 40 1051828584 0.004
6 40 1049939551 0.004
13 40 1076087818 0.004
16 40 1065686596 0.004
18 40 927177586 0.004
30 40 1002818586 0.004
32 40 1012751589 0.004
34 40 1065428551 0.004
48 40 1030681575 0.004
0 41 936255920 0.004
10 41 979552101 0.004
15 41 1031054641 0.004
16 41 928226226 0.004
20 41 952813323 0.004
35 41 992788299 0.004
42 41 964901555 0.004
49 41 967900329 0.004
2 42 962663749 0.004
5 42 978595269 0.004
11 42 933320713 0.004
17 42 1016365755 0.004
18 42 1046251272 0.004
22 42 1067768953 0.004
24 42 953402242 0.004
27 42 998328145 0.004
36 42 1098169856 0.004
37 42 1031206673 0.004
40 42 1088970399 0.004
41 42 935008502 0.004
44 42 931563388 0.004
47 42 981556540 0.004
6 43 916383309 0.004
11 43 1031483669 0.004
25 43 1044942261 0.004
27 43 956075439 0.004
31 43 1018769641 0.004
33 43 998911107 0.004
40 43 942380535 0.004
48 43 993985091 0.004
49 43 1077116583 0.004
5 44 1010595059 0.004
14 44 939207075 0.004
19 44 948761748 0.004
20 44 1036678239 0.004
24 44 1053602711 0.004
28 44 966884057 0.004
43 44 997709923 0.004
45 44 1087918883 0.004
47 44 932818415 0.004
49 44 1011453922 0.004
1 45 1073346570 0.004
5 45 972745090 0.004
7 45 1097289478 0.004
8 45 1027539727 0.004
16 45 1091032146 0.004
19 45 1005715475 0.004
27 45 922285724 0.004
29 45 912385323 0.004
39 45 1099285775 0.004
43 45 955719500 0.004
48 45 1099935206 0.004
0 46 948950951 0.004
2 46 920609213 0.004
7 46 997638473 0.004
12 46 942946304 0.004
14 46 980829641 0.004
18 46 972983392 0.004
21 46 999345118 0.004
23 46 1058959662 0.004
26 46 944537780 0.004
30 46 1080183938 0.004
33 46 1040395106 0.004
40 46 1071214584 0.004
45 46 1099464047 0.004
47 46 1081722126 0.004
48 46 917165696 0.004
2 47 1074688245 0.004
4 47 1093354663 0.004
6 47 911802992 0.004
14 47 963933037 0.004
22 47 952424544 0.004
23 47 955249772 0.004
24 47 933410889 0.004
26 47 1075151378 0.004
27 47 992368950 0.004
32 47 1046608632 0.004
38 47 1083449961 0.004
41 47 929420534 0.004
42 47 904678107 0.004
46 47 968393034 0.004
49 47 1037821805 0.004
5 48 1028350270 0.004
7 48 1040996451 0.004
9 48 969405510 0.004
10 48 962470157 0.004
21 48 947012854 0.004
41 48 912009205 0.004
46 48 964599512 0.004
49 48 1086215858 0.004
10 49 988618312 0.004
12 49 1087786471 0.004
22 49 1053074006 0.004
